NCT	Phase	Conditions	Drugs	BriefTitle	OfficialTrial	Oncotree Codes
NCT03215511	1/Phase 2	Carcinoma, Non-Small-Cell Lung|Thyroid Neoplasms|Sarcoma|Colorectal Neoplasms|Salivary Gland Neoplasms|Biliary Tract Neoplasms|Brain Neoplasm, Primary|Melanoma|Glioblastoma|Bile Duct Neoplasms|Astrocytoma|Head and Neck Squamous Cell Carcinoma|Pontine Glioma|Pancreatic Neoplasms|Ovarian Neoplasms|Carcinoma, Renal Cell|Cholangiocarcinoma|Skin Carcinoma|Carcinoma, Bronchogenic|Bronchial Neoplasms|Lung Neoplasms|Respiratory Tract Neoplasms|Thoracic Neoplasms|Neoplasms, Nerve Tissue|Nevi and Melanomas|Intestinal Neoplasms|Thyroid Cancer|GIST|Malignant Peripheral Nerve Sheath Tumors|Breast Secretory Carcinoma|Uterine Neoplasms|Fibrosarcoma|Infantile Fibrosarcoma|Congenital Mesoblastic Nephroma|Central Nervous System Neoplasms	LOXO-195	Phase 1/2 Study of LOXO-195 in Patients With Previously Treated NTRK Fusion Cancers	A Phase 1/2 Study of the TRK Inhibitor LOXO-195 in Adult and Pediatric Subjects With Previously Treated NTRK Fusion Cancers	SARCNOS|SRCC|GB|UESL|SCCRCC|OCS|MPNST|LGFMS|ASPS|ASTR|THHC|LUNG|SARCL|RMS|ESST|INTS|DDCHS|MYCHS|MT|RCC|LCS|HNSC|UMLMS|UCP|CCSK|FIOS|IFS|LMS|CELI|LIAS|ES|RCSNOS|BCC|MCSL|PLLS|CERMS|THYROID|SCRMS|UUS|ERMS|PBS|CHS|THPA|PT|SECOS|ODGC|CSNOS|BRAIN|MMBC|MCC|HDCS|OSOS|HGESS|CHOS|PTH|DIPG|DCS|BA|ULMS|SKIN|THAP|EMCHS|MS|MRT|CHOL|RAS|SCB|NST|WDTC|OS|FDCS|UTERUS|PLRMS|SCOS|MCHS|OUSARC|UCS|SCSRMS|MRLS|MCS|CCS|GS|PEOS|ESS|MFH|DFSP|SEF|IMT|MCHSCNS|MEL|USARC|GIST|TISSUE|IDCS|EPIS|LGESS|THPD|THFO|ARMS|UELMS|WDLS|THME|FIBS|BREAST|MPT|DDCHDM|LGCOS|UAS|ANGS|HGSOS|TEOS|DDLS|GSARC|CSCC|BILIARY_TRACT|PAOS|LIPO|PTES|EHAE|MFS|SYNS
NCT03241550	1	Hematological Malignancy	isavuconazonium sulfate - intravenous|isavuconazonium sulfate - oral	A Study of Intravenous and Oral Isavuconazonium Sulfate in Pediatric Patients	A Phase 1, Open-label, Multicenter, Non-comparative Pharmacokinetics and Safety Study of Intravenous and Oral Isavuconazonium Sulfate in Pediatric Patients	MT
NCT03245151	1/Phase 2	Recurrent and Refractory Solid Tumors	Lenvatinib|Everolimus	Study of Lenvatinib in Combination With Everolimus in Recurrent and Refractory Pediatric Solid Tumors, Including Central Nervous System Tumors	A Phase 1/2 Study of Lenvatinib in Combination With Everolimus in Recurrent and Refractory Pediatric Solid Tumors, Including CNS Tumors	
NCT03268954	3	Myelodysplastic Syndrome|Leukemia, Myelomonocytic, Chronic|Leukemia, Myeloid, Acute	Azacitidine|Pevonedistat	Pevonedistat Plus Azacitidine Versus Single-Agent Azacitidine as First-Line Treatment for Participants With Higher-Risk Myelodysplastic Syndromes (HR MDS), Chronic Myelomonocytic Leukemia (CMML), or Low-Blast Acute Myelogenous Leukemia (AML)	A Phase 3, Randomized, Controlled, Open-label, Clinical Study of Pevonedistat Plus Azacitidine Versus Single-Agent Azacitidine as First-Line Treatment for Patients With Higher-Risk Myelodysplastic Syndromes, Chronic Myelomonocytic Leukemia, or Low-Blast Acute Myelogenous Leukemia	MDS|MYELOID
NCT03289039	2	Breast Cancer	Neratinib|Fulvestrant	Neratinib +/- Fulvestrant in HER2+, ER+ Metastatic Breast Cancer	A Phase 2 Study of Neratinib With or Without Fulvestrant in HER2-Positive, ER-Positive Metastatic Breast Cancer	MT|MMBC|IBC|BRCA|EMBC|IMMC|MBC|BREAST|ACBC
NCT03298451	3	Hepatocellular Carcinoma	Durvalumab|Tremelimumab (Regimen 1)|Tremelimumab (Regimen 2)|Sorafenib|Durvalumab (Regimen 1)|Durvalumab (Regimen 2)	Study of Durvalumab and Tremelimumab as First-line Treatment in Patients With Unresectable Hepatocellular Carcinoma	A Randomized, Open-label, Multi-center Phase III Study of Durvalumab and Tremelimumab as First-line Treatment in Patients With Unresectable Hepatocellular Carcinoma	HCC
NCT03303339	1/Phase 2	Acute Myeloid Leukemia	Onvansertib|Cytarabine|Decitabine	Onvansertib in Combination With Either Low-dose Cytarabine or Decitabine in Adult Patients With Acute Myeloid Leukemia (AML).	A Phase 1b/2 Study of PCM-075 (Onvansertib) in Combination With Either Low-Dose Cytarabine or Decitabine in Subjects With Acute Myeloid Leukemia (AML)	AML
NCT03306264	3	Myelodysplastic Syndromes|Chronic Myelomonocytic Leukemia	ASTX727|Dacogen	Study of ASTX727 vs IV Decitabine in MDS and CMML	A Phase 3, Randomized, Open-Label, Crossover Study of ASTX727 (Cedazuridine and Decitabine Fixed-Dose Combination) Versus IV Decitabine in Subjects With Myelodysplastic Syndromes (MDS) and Chronic Myelomonocytic Leukemia (CMML) [ASTX727-02]	MDS|CMML
NCT03312114	2	Recurrent Epithelial Cancer of Ovary|Primary Peritoneal Carcinoma|Fallopian Tube Cancer	Avelumab	Antiâ€”PD-L1 and SAbR for Ovarian Cancer	Phase II Trial of Concurrent Antiâ€”PD-L1 and SAbR for Patients With Persistent or Recurrent Epithelial Ovarian, Primary Peritoneal or Fallopian Tube Cancer (With Safety lead-in)	MT|OVARY|HGSFT
NCT03318497	2	Pancreatic Adenocarcinoma	3'-deoxy-3'-[F-18] fluorothymidine: [F-18]FLT	Role of Interim 18F-FLT PET/CT for Outcome Prediction in Pancreatic Adenocarcinoma	Initial Evaluation of Role of Early Interim 18F-FLT PET/CT for Outcome Prediction in Pancreatic Adenocarcinoma	PAAD
NCT03336216	2	Advanced Pancreatic Cancer	Nab-paclitaxel|Onivyde|Fluorouracil|Gemcitabine|Oxaliplatin|Leucovorin|Irinotecan Hydrochloride	A Study of Cabiralizumab Given With Nivolumab With and Without Chemotherapy in Patients With Advanced Pancreatic Cancer	A Phase 2 Study of Cabiralizumab (BMS-986227, FPA008) Administered in Combination With Nivolumab (BMS-936558) With and Without Chemotherapy in Patients With Advanced Pancreatic Cancer	MT
NCT03343197	1	Glioma	AG-120|AG881	Study of AG-120 and AG-881 in Subjects With Low Grade Glioma	A Phase 1, Multicenter, Randomized, Controlled, Open-Label, Perioperative Study of AG-120 and AG-881 in Subjects With Recurrent, Non-Enhancing, IDH1 Mutant, Low Grade Glioma	ODG|DIFG|GB|GNOS|CHGL|PHC|AGNG|LGGNOS|DIPG|ANGL|GNG|SUBE|ENCG|OAST|HGGNOS|DIG|HTAT|AOAST|PGNG|AODG
NCT03361748	2	Multiple Myeloma		Efficacy and Safety Study of bb2121 in Subjects With Relapsed and Refractory Multiple Myeloma (KarMMa)	A Phase 2, Multicenter Study to Determine the Efficacy and Safety of bb2121 in Subjects With Relapsed and Refractory Multiple Myeloma	PCM
NCT03365882	2	Colon Adenocarcinoma|ERBB2 Gene Amplification|Rectal Adenocarcinoma|Recurrent Colon Carcinoma|Recurrent Rectal Carcinoma|Stage III Colon Cancer AJCC v7|Stage III Rectal Cancer AJCC v7|Stage IIIA Colon Cancer AJCC v7|Stage IIIA Rectal Cancer AJCC v7|Stage IIIB Colon Cancer AJCC v7|Stage IIIB Rectal Cancer AJCC v7|Stage IIIC Colon Cancer AJCC v7|Stage IIIC Rectal Cancer AJCC v7|Stage IV Colon Cancer AJCC v7|Stage IV Rectal Cancer AJCC v7|Stage IVA Colon Cancer AJCC v7|Stage IVA Rectal Cancer AJCC v7|Stage IVB Colon Cancer AJCC v7|Stage IVB Rectal Cancer AJCC v7	Irinotecan Hydrochloride	S1613, Trastuzumab and Pertuzumab or Cetuximab and Irinotecan Hydrochloride in Treating Patients With Locally Advanced or Metastatic HER2/Neu Amplified Colorectal Cancer That Cannot Be Removed by Surgery	S1613, A Randomized Phase II Study of Trastuzumab and Pertuzumab (TP) Compared to Cetuximab and Irinotecan (CETIRI) in Advanced/Metastatic Colorectal Cancer (mCRC) With HER-2 Amplification	MT|READ|RBL|CHOL|COAD
NCT03382561	2	Extensive Stage Small Cell Lung Carcinoma	Carboplatin|Cisplatin|Etoposide	Cisplatin/Carboplatin and Etoposide With or Without Nivolumab in Treating Patients With Extensive Stage Small Cell Lung Cancer	Randomized Phase II Clinical Trial of Cisplatin/Carboplatin and Etoposide (CE) Alone or in Combination With Nivolumab as Frontline Therapy for Extensive Stage Small Cell Lung Cancer (ED-SCLC)	LUNG|MT|SCLC
NCT03426865	2	Testis Cancer|Germ Cell Tumor|Testicular Cancer|Germ Cell Tumor of Testis|Germ Cell Tumor, Testicular, Childhood|Testicular Neoplasms|Testicular Germ Cell Tumor|Testicular Yolk Sac Tumor|Testicular Choriocarcinoma|Testicular Diseases|Germ Cell Cancer Metastatic|Germ Cell Neoplasm of Retroperitoneum|Germ Cell Cancer, Nos	Axumin PET scan	Role of Axumin PET Scan in Germ Cell Tumor	Anti-1-amino-3-18F-flurocyclobutane-1-carboxylic Acid (Axumin) Positron Emission Tomography/Computed Tomography Prior to Retroperitoneal Lymph Node Dissection for Testicular Cancer	PERITONEUM|MT|OMGCT|TYST|NSGCT|ES|MGCT|EGCT|TESTIS|VGCT|EPIS|TCCA|BGCT|OGCT|BMGCT&VMGCT
NCT03441360	2	Relapsed/Refractory Rhabdomyosarcoma|Non-rhabdomyosarcoma Soft Tissue Sarcoma|Ewing Sarcoma	Eribulin mesylate	Study to Assess Safety and Preliminary Activity of Eribulin Mesylate in Pediatric Subjects With Relapsed/Refractory Rhabdomyosarcoma (RMS), Non-rhabdomyosarcoma Soft Tissue Sarcoma (NRSTS) and Ewing Sarcoma (EWS)	A Phase 2, Multicenter, Open-label Study to Assess Safety and Preliminary Activity of Eribulin Mesylate in Pediatric Subjects With Relapsed/Refractory Rhabdomyosarcoma (RMS), Non-rhabdomyosarcoma Soft Tissue Sarcoma (NRSTS) and Ewing Sarcoma (EWS)	RMS|ES|SOFT_TISSUE|TISSUE|SYNS
NCT03519997	2	Hepatocellular Carcinoma	Pembrolizumab|Bavituximab	A Study of Pembrolizumab and Bavituximab in Patients With Advanced Hepatocellular Carcinoma	A Phase II Study of Pembrolizumab and Bavituximab in Patients With Advanced Hepatocellular Carcinoma	HCC
NCT03533582	2/Phase 3	Childhood Hepatocellular Carcinoma|Childhood Malignant Liver Neoplasm|Elevated Alpha-Fetoprotein|Hepatoblastoma|SMARCB1 Gene Mutation	Carboplatin|Cisplatin|Doxorubicin|Etoposide|Fluorouracil|Gemcitabine|Irinotecan|Oxaliplatin|Sorafenib|Vincristine Sulfate	Cisplatin and Combination Chemotherapy in Treating Children and Young Adults With Hepatoblastoma or Liver Cancer After Surgery	Pediatric Hepatic Malignancy International Therapeutic Trial (PHITT)	MT|LIVER|HCC|LIHB
